ID,Question,A,B,C,D,Answer,Reason
1,You are working on a project as an Agile Project Manager. The executive manager who will own the product you are delivering would like to focus primarily on set processes and tools to manage to project. What will you recommend to them instead?,To focus on the definition of success as defined by the project manager.,Focus primarily on the individuals and interactions involved.,Focus primarily on the scope of the project.,Focus primarily on the schedule of the project.,Focus primarily on the individuals and interactions involved.,"The Agile manifesto recommends focusing on Individuals and Interactions over processes and tools. Projects are run by people, products are developed by people for people to use and our interactions either make or break a project."
2,"The executive management in your organization has assembled a new team, and dictated that they will use Agile for their product development. As the project progresses, there is confusion about the product scope and the definition of what done looks like. As an Agile Project Manager, what will you recommend to the executive team?","Select a person from each part of the organization to assist, to ensure diversity.",Have the functional manager select their friends or favorite team member.,"Encourage a self-organizing team to form, including the people who asked for the requirements and outcomes in the first place.",Hire external consultants to run the project and create the product.,"Encourage a self-organizing team to form, including the people who asked for the requirements and outcomes in the first place.","Agile encourages self-organizing teams composed of the people who created the requirements and had the desired outcome in the first place. This gives a higher level of ownership and product expertise, that often cannot be bought."
3,You are running an Agile project and meet with the team for the next sprint planning meeting. What will you do next?,Negotiate the scope and costs of the project with the project sponsor.,Walk through three questions with the team--what did I do yesterday? What will I do today? Is anything blocking me?,"The dev team demonstrates the working feature to the product owner, who marks it complete.","The product owner shares the updated backlog, and the team discusses it to ensure a shared understanding.","The product owner shares the updated backlog, and the team discusses it to ensure a shared understanding.",The product owner should share the updated backlog items and ensure the entire team has a good understanding of how to move forward.
4,You are a project manager working on an Agile project and want your team to maximize the value they bring to the customer. What can you eliminate in order to maximize project value?,Daily stand-ups.,Unnecessary features.,Sprint reviews.,Testing.,Unnecessary features.,"In addition to eliminating the introduction of unnecessary features, value can be maximized by eliminating partially done work, delays, extra processes and features, task switching, waiting, moving information or a deliverable, defects or rework, and handoffs."
5,You are working on a project and the team have recently moved to an Agile way of work. One of the team members is confused about Scrum and what typically happens after the sprint review. What will you tell them happens next?,Hold a sprint retrospective with the team.,Perform product backlog refinement with the product owner.,"Perform story card elaboration with the three amigos (Business, Development, Testing).",Hold a Daily Scrum.,Hold a sprint retrospective with the team.,"A sprint retrospective is held with the Whole Team, after a sprint review, but before the sprint planning meeting. We use it to gather lessons learned and look for opportunities for improvement, and everyone has a voice for feedback and to implement improvements before the next sprint."
6,You are working in an Agile team and preparing the Agile team charter. You work with the Agile team to ensure the team charter answers these four questions: Why are we doing the project? Who benefits and how?,When will the project end? What do we do with the product?,"What does ""done"" mean for the project? How are we going to work together?",How much risk is on the project? What is the project scope?,How many defects are allowed in the product? How many testers are there?,"What does ""done"" mean for the project? How are we going to work together?","An Agile team charter typically covers why we are doing the project, who benefits and how, what does done look like, and how are we going to work together. (See Agile Practice Guide, Ch 5, p.49)"
7,You are working with a new Agile project manager and explain that Agile favors value-based measurements instead of predictive measurements on a project. What is an example of value-based measurements?,Earned value management and the schedule performance index.,Variance Analysis and the Estimate to Complete.,Feature burndown chart (features delivered) and customer satisfaction.,Variance at Completion and the cost performance index.,Feature burndown chart (features delivered) and customer satisfaction.,Agile works with value delivered as its primary measurement. All the other options are predictive measurements from a traditional project management methodology.
8,"Agile Unified Process (AUP) is an Auxiliary Agile method that focuses on performing more iterative cycles across seven key disciplines, and incorporating the associated feedback before formal delivery. Which is NOT one of the seven key disciplines within a release?",Discipline of the high level model.,Discipline in managing stakeholders' expectations.,Discipline in testing.,Discipline in configuration management.,Discipline in managing stakeholders' expectations.,"Agile focuses on transparency to ensure the customer needs are met, not in specifically managing customer expectations."
9,You are leading a coaching session with your project team on the additional Agile and Lean frameworks that have contributed to the Agile way of work. What frameworks will you share with the team?,"Project Management Plan, Project Charter.","Scaled Agile Framework, Large Scale Scrum.","Working Group Meetings, Project Post Mortems.","Flow Charting, Affinity Diagrams.","Scaled Agile Framework, Large Scale Scrum.","Agile and Lean frameworks include Scaled Agile Framework, Large Scale Scrum, Scrum of Scrums, Dynamic Systems Development Method, along with the more common Kanban, Extreme Programming and Scrum."
10,"Introduced by Alexander Cockburn in his book ""Crystal Clear"" and created at IBM in 1991, Crystal is an Agile framework focusing on individuals and their interactions, as opposed to processes and tools (the first Agile principle). It is not a set process, but a guideline for team collaboration and communication. Which of the following is NOT one of its core beliefs?",Technologies change techniques.,People change functions.,Cultures change norms.,Distances change communication.,People change functions.,"Crystal Clear describes the three core beliefs as Technologies changing techniques, cultures changing norms, and distances changing communication - all reasons behind the core practices of Agile such as stand-ups, collaborative user story, creation, retrospectives and the whole team approach."
11,"You are working on a project in the role of Scrum Master, and have set a meeting with the team and the product owner to refine the product abcklog. What should the team do in this meeting?",Estimate and refine the work items.,Prioritize the work items.,Add features to the project backlog.,Identify fixes.,Estimate and refine the work items.,The product owner adjusts the priority of product backlog items. The team is responsible for estimating and refining work items. Each time the team refines their estimates with a higher level of detail.
12,You are working with a team who would like to become Agile. The function manager asks you what the difference between Kanban and Scrum is. What will you tell them?,Kanban teams plan with work in sprints or iterations.,There are no WIP limits in Kanban.,Kanban teams work on a project as a whole.,Kanban teams employ a pull system.,Kanban teams employ a pull system.,"The main difference between Scrum and Kanban is that Kanban teams employ a pull system. This means when an item of work is completed, it triggers someone to ""pull"" the next item in the queue onto the board to work on. Kanban teams work off a Kanban board that displays each task, and have a limit to how much work in progress (WIP) can be in place."
13,"You are working on a new project with an Agile product development team, who have self-formed and chosen a Scrum Master called Jeremy. Jeremy immediately sets a meeting with the team to explain and flesh out their Team Charter. What has made Jeremy a good choice for Scrum Master?",He likes to work within set processes.,He has been with the company for more than five years.,He knows servant leadership and engages the team in decisions.,He sticks to the plan and does not change.,He knows servant leadership and engages the team in decisions.,"Jeremy shows the traits of servant leadership by engaging the team in team decisions, starting with the Team Charter and ground rules so everyone knows where they stand. By communicating the reasons for his decisions, he is a suitable Scrum Master and will be less focused on command and control."
